url,alchemy_category,alchemy_category_score,is_news,label
http://www.bloomb.com,business,0.789131,1,0
http://www.popsci.com,recreation,0.574147,1,1
http://www.menshe.com,health,0.996526,1,1
http://www.dumbli.com,health,0.801248,1,1
http://bleacherre.com,sports,0.719157,1,0
http://www.conven.com,?,?,?,0
http://gofashionl.com,arts_entertainment,0.22111,1,1
http://www.inside.com,?,?,?,0
http://www.valetm.com,?,?,1,1
http://www.howswe.com,?,?,?,1
http://www.qq.com,health,0.25678,1,0
http://www.aa.com,sports,0.25679,1,1
http://www.bb.com,sports,0.2568,1,0
http://www.cc.com,sports,0.25681,1,1
http://www.dd.com,recreation,0.25682,1,0
http://www.ee.com,health,0.25683,1,1
http://www.ffe.com,business,0.25684,1,0
http://www.xx.com,health,0.25685,1,1
http://www.oooo.com,health,0.25686,1,0
http://www.aaaa.com,business,0.25687,1,1
